serial,level0,level1,level2,name0,name1,name2,evento,lugar,fechano,fechames,fechadia,muertos,heridos,desaparece,afectados,vivdest,vivafec,otros,fuentes,valorloc,valorus,fechapor,fechafec,hay_muertos,hay_heridos,hay_deasparece,hay_afectados,hay_vivdest,hay_vivafec,hay_otros,socorro,salud,educacion,agropecuario,industrias,acueducto,alcantarillado,energia,comunicaciones,causa,descausa,transporte,magnitud2,nhospitales,nescuelas,nhectareas,cabezas,kmvias,duracion,damnificados,evacuados,hay_damnificados,hay_evacuados,hay_reubicados,reubicados,clave,defaultab,approved,latitude,longitude,uu_id,di_comments
877,8,[Table],[Table],Sindh,[Table],[Table],FLOOD,[Table],2011,8,19,13,0,0,20000,0,0,[Table],[Table],0,0,Anonimous,[Table],-1,0,0,-1,0,0,0,0,1,1,1,0,1,1,1,1,[Table],[Table],1,[Table],0,0,0,0,0,0,0,0,0,0,0,0,3638,[Table],0,0,0,36286472397999419302453665,[Table]
878,8,[Table],[Table],Sindh,[Table],[Table],FLOOD,[Table],2004,8,13,15,381,0,21324,0,0,[Table],[Table],0,0,Anonimous,[Table],-1,-1,0,-1,0,0,0,0,1,1,1,0,1,1,1,1,[Table],[Table],1,[Table],0,0,0,0,0,0,0,0,0,0,0,0,3639,[Table],0,0,0,36294494969999419302453665,[Table]
879,8,[Table],[Table],Sindh,[Table],[Table],FLOOD,[Table],2003,8,6,53,0,0,366000,0,0,[Table],[Table],0,0,Anonimous,[Table],-1,0,0,-1,0,0,0,0,1,1,1,0,1,1,1,1,[Table],[Table],1,[Table],0,0,0,0,0,0,0,0,0,0,0,0,3640,[Table],0,0,0,36305453497999419302453665,[Table]
880,8,[Table],[Table],Sindh,[Table],[Table],FLOOD,[Table],2007,8,8,57,35,0,224314,0,0,[Table],[Table],0,0,Anonimous,[Table],-1,-1,0,-1,0,0,0,0,1,1,1,0,1,1,1,1,[Table],[Table],1,[Table],0,0,0,0,0,0,0,0,0,0,0,0,3641,[Table],0,0,0,36314374178999419302453665,[Table]
979,8,[Table],[Table],Sindh,[Table],[Table],RAINS,[Table],2005,9,12,3,0,0,0,8,0,[Table],[Table],0,0,Anonimous,[Table],-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,[Table],[Table],0,[Table],0,0,0,0,0,0,0,0,0,0,0,0,3740,[Table],0,0,0,37309373158999419302453665,[Table]
980,8,[Table],[Table],Sindh,[Table],[Table],RAINS,[Table],2009,9,10,4,0,0,943,8,0,[Table],[Table],0,0,Anonimous,[Table],-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,[Table],[Table],0,[Table],0,0,0,0,0,0,0,0,0,0,0,0,3741,[Table],0,0,0,37319355918999419302453665,[Table]
423,8,[Table],[Table],Sindh,[Table],[Table],RAINS,[Table],2003,9,6,21,49,0,943,8,0,[Table],[Table],0,0,Anonimous,[Table],-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,[Table],[Table],0,[Table],0,0,0,0,0,0,0,0,0,0,0,0,4267,[Table],0,0,0,41004005790999419302453665,[Table]
910,7,[Table],[Table],Balochistan,[Table],[Table],FLOOD,[Table],2001,8,9,14,48,0,15,303,53,[Table],[Table],0,0,Anonimous,[Table],-1,-1,0,-1,-1,-1,0,0,1,1,1,0,1,1,1,1,[Table],[Table],1,[Table],2,1,12138.4,6,0,0,0,0,0,0,0,0,3172,[Table],0,0,0,31993065365999419302453664,[Table]
1106,7,[Table],[Table],Balochistan,[Table],[Table],FLOOD,[Table],2010,9,3,42,59,0,54564,4218,0,[Table],[Table],0,0,Anonimous,[Table],-1,-1,0,-1,-1,0,0,0,1,1,1,0,1,1,1,1,[Table],[Table],1,[Table],23,2,0,66,0,0,0,0,0,0,0,0,3930,[Table],0,0,0,38575469274999419302453665,[Table]
2914,3,[Table],[Table],Azad Kashmir,[Table],[Table],EPIDEMIC,[Table],2007,3,24,8,0,0,67,0,0,[Table],[Table],0,0,Y.Kazmi,[Table],-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,[Table],[Table],0,[Table],0,0,0,0,0,0,0,0,0,0,0,0,5031,[Table],0,0,0,3e172dc4-79d4-4a33-b8d5-647032d54c11,[Table]
